datetime,crime_type,neighborhood,latitude,longitude
2024-01-26 20:00:00,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Southwest,34.0256,-118.3351
2024-01-27 22:00:00,BURGLARY,Newton,34.009,-118.2728
2024-08-30 13:00:00,VEHICLE - STOLEN,Central,34.0409,-118.2574
2024-01-01 18:15:00,BATTERY - SIMPLE ASSAULT,Central,34.0487,-118.2588
2024-01-02 10:30:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Central,34.0491,-118.2558
2024-01-02 09:30:00,BRANDISH WEAPON,Central,34.0453,-118.2499
2024-01-03 18:50:00,BRANDISH WEAPON,Central,34.0502,-118.2575
2024-01-03 20:05:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0508,-118.2586
2024-01-03 12:35:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0448,-118.2474
2024-01-05 13:15:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Central,34.043,-118.242
2024-01-08 18:00:00,THEFT PLAIN - PETTY ($950 & UNDER),Central,34.048,-118.2577
2024-01-14 00:02:00,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Central,34.0511,-118.2597
2024-01-18 22:45:00,BATTERY - SIMPLE ASSAULT,Central,34.051,-118.248
2024-01-19 14:40:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Central,34.0498,-118.24
2024-01-20 02:00:00,"RAPE, FORCIBLE",Central,34.0566,-118.2531
2024-01-22 08:40:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Central,34.0457,-118.2665
2024-01-22 14:30:00,BURGLARY,Central,34.0419,-118.2669
2024-01-24 22:00:00,CRIMINAL THREATS - NO WEAPON DISPLAYED,Central,34.0508,-118.2586
2024-01-26 04:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0503,-118.247
2024-01-29 14:30:00,TRESPASSING,Central,34.0549,-118.2511
2024-01-29 23:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0371,-118.2611
2024-01-26 17:00:00,BRANDISH WEAPON,Central,34.0444,-118.2593
2024-01-30 17:30:00,ARSON,Central,34.0502,-118.2539
2024-01-30 16:10:00,THEFT PLAIN - PETTY ($950 & UNDER),Central,34.0445,-118.2523
2024-02-03 20:40:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0437,-118.2652
2024-02-06 11:30:00,ARSON,Central,34.0502,-118.2539
2024-02-06 08:30:00,ROBBERY,Central,34.0352,-118.2654
2024-02-09 16:50:00,BATTERY - SIMPLE ASSAULT,Central,34.043,-118.242
2024-02-10 00:05:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Central,34.0401,-118.2669
2024-02-10 22:30:00,VEHICLE - ATTEMPT STOLEN,Central,34.0435,-118.2366
2024-02-16 14:30:00,ROBBERY,Central,34.0423,-118.2561
2024-02-16 15:30:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Central,34.0499,-118.2615
