source_district,administrative_district,classification
Bagalkot,Bagalkote,territorial
Ballari,Ballari,territorial
Belagavi City,Belagavi,territorial
Belagavi Dist,Belagavi,territorial
Bengaluru City,Bengaluru Urban,territorial
Bengaluru Dist,Bengaluru Rural,territorial
Bidar,Bidar,territorial
CID,CID,special
Chamarajanagar,Chamarajanagara,territorial
Chickballapura,Chikkaballapura,territorial
Chikkamagaluru,Chikkamagaluru,territorial
Chitradurga,Chitradurga,territorial
Coastal Security Police,Coastal Security Police,special
Dakshina Kannada,Dakshina Kannada,territorial
Davanagere,Davanagere,territorial
Dharwad,Dharwad,territorial
Gadag,Gadag,territorial
Hassan,Hassan,territorial
Haveri,Haveri,territorial
Hubballi Dharwad City,Dharwad,territorial
ISD Bengaluru,ISD Bengaluru,special
K.G.F,Kolar,territorial
Kalaburagi,Kalaburagi,territorial
Kalaburagi City,Kalaburagi,territorial
Karnataka Railways,Karnataka Railways,special
Kodagu,Kodagu,territorial
Kolar,Kolar,territorial
Koppal,Koppal,territorial
Mandya,Mandya,territorial
Mangaluru City,Dakshina Kannada,territorial
Mysuru City,Mysuru,territorial
Mysuru Dist,Mysuru,territorial
Raichur,Raichur,territorial
Ramanagara,Ramanagara,territorial
Shivamogga,Shivamogga,territorial
Tumakuru,Tumakuru,territorial
Udupi,Udupi,territorial
Uttara Kannada,Uttara Kannada,territorial
Vijayanagara,Vijayanagara,territorial
Vijayapur,Vijayapura,territorial
Yadgir,Yadgir,territorial
