source_code,source_description,crime_category,crime_subcategory
110,CRIMINAL HOMICIDE,violent_crime,homicide
113,"MANSLAUGHTER, NEGLIGENT",violent_crime,homicide
121,"RAPE, FORCIBLE",sexual_offence,sexual_offence
122,"RAPE, ATTEMPTED",sexual_offence,sexual_offence
210,ROBBERY,violent_crime,robbery
220,ATTEMPTED ROBBERY,violent_crime,robbery
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",violent_crime,assault
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,violent_crime,assault
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,family_child_offence,child_related_offence
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,family_child_offence,domestic_violence
237,CHILD NEGLECT (SEE 300 W.I.C.),family_child_offence,child_related_offence
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",violent_crime,assault
251,SHOTS FIRED AT INHABITED DWELLING,violent_crime,assault
310,BURGLARY,property_crime,burglary
320,"BURGLARY, ATTEMPTED",property_crime,burglary
330,BURGLARY FROM VEHICLE,property_crime,theft_from_vehicle
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),property_crime,theft_from_vehicle
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",property_crime,theft
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),property_crime,shoplifting
345,DISHONEST EMPLOYEE - GRAND THEFT,property_crime,theft
347,GRAND THEFT / INSURANCE FRAUD,fraud_cyber_crime,fraud
349,GRAND THEFT / AUTO REPAIR,property_crime,theft
350,"THEFT, PERSON",property_crime,theft
351,PURSE SNATCHING,property_crime,theft
352,PICKPOCKET,property_crime,theft
353,DRUNK ROLL,property_crime,theft
354,THEFT OF IDENTITY,fraud_cyber_crime,fraud
410,"BURGLARY FROM VEHICLE, ATTEMPTED",property_crime,theft_from_vehicle
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),property_crime,theft_from_vehicle
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,property_crime,theft_from_vehicle
430,VEHICLE-RELATED OFFENCE (LEGACY SECONDARY CODE),property_crime,vehicle_related_offence
