source_code,source_description,premise_category,broad_anchor_class
,,unknown,built_other
101,STREET,outdoor,outdoor
102,SIDEWALK,outdoor,outdoor
103,ALLEY,outdoor,outdoor
104,DRIVEWAY,outdoor,outdoor
105,PEDESTRIAN OVERCROSSING,built_other,built_other
106,TUNNEL,built_other,built_other
107,VACANT LOT,built_other,built_other
108,PARKING LOT,outdoor,outdoor
109,PARK/PLAYGROUND,public_institutional,public_institutional
110,FREEWAY,built_other,built_other
111,BUS-CHARTER/PRIVATE,transit,transit
112,"BUS, SCHOOL, CHURCH",transit,transit
113,"TRUCK, COMMERICAL",vehicle,outdoor
114,TAXI,vehicle,outdoor
115,AIRCRAFT,built_other,built_other
116,OTHER/OUTSIDE,built_other,built_other
117,BEACH,outdoor,outdoor
118,CONSTRUCTION SITE,built_other,built_other
119,"PORCH, RESIDENTIAL",residential,residential
120,STORAGE SHED,built_other,built_other
121,YARD (RESIDENTIAL/BUSINESS),residential,residential
122,"VEHICLE, PASSENGER/TRUCK",vehicle,outdoor
123,PARKING UNDERGROUND/BUILDING,outdoor,outdoor
124,BUS STOP,transit,transit
125,PAY PHONE,built_other,built_other
126,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",transit,transit
127,TRASH CAN/TRASH DUMPSTER,built_other,built_other
128,BUS STOP/LAYOVER (ALSO QUERY 124),transit,transit
129,"TERMINAL, OTHER THAN MTA",transit,transit
135,MTA PROPERTY OR PARKING LOT,outdoor,outdoor
136,"OTHER INTERSTATE, CHARTER BUS",transit,transit
137,TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*,built_other,built_other
138,STAIRWELL*,built_other,built_other
139,AMUSEMENT PARK*,public_institutional,public_institutional
140,BALCONY*,built_other,built_other
141,CEMETARY*,built_other,built_other
142,DRIVE THRU*,built_other,built_other
143,ESCALATOR*,built_other,built_other
144,GOLF COURSE*,built_other,built_other
145,MAIL BOX,built_other,built_other
146,PATIO*,built_other,built_other
147,POOL-PUBLIC/OUTDOOR OR INDOOR*,built_other,built_other
148,PUBLIC RESTROOM/OUTSIDE*,built_other,built_other
149,RIVER BED*,built_other,built_other
150,TOOL SHED*,built_other,built_other
151,TOW YARD*,residential,residential
152,UNDERPASS/BRIDGE*,outdoor,outdoor
154,TRAIN TRACKS,transit,transit
155,DAM/RESERVOIR,built_other,built_other
156,VALET,built_other,built_other
157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",vehicle,outdoor
158,TRANSIENT ENCAMPMENT,built_other,built_other
201,JEWELRY STORE,commercial,commercial
