reporting_district,source_record_count,station_code
0101,943,PSB-127-02
0105,292,PSB-110
0109,26,PSB-162
0111,3855,PSB-96
0112,232,PSB-123
0118,1143,PSB-164
0119,3677,PSB-97
0121,475,PSB-143-02
0122,340,PSB-739
0123,365,PSB-127-01
0124,855,PSB-105
0127,315,PSB-115
0128,837,PSB-743
0129,552,PSB-164
0131,356,PSB-159
0132,1214,PSB-168
0133,500,PSB-86
0134,669,PSB-127-02
0135,989,PSB-140
0138,2049,PSB-738
0139,1584,PSB-91
0141,288,PSB-741
0142,1273,PSB-80
0143,625,PSB-157
0144,433,PSB-93
0145,536,PSB-142
0146,307,PSB-102
0147,570,PSB-107
0148,634,PSB-94
0151,353,PSB-87
0152,3278,PSB-738
0153,3030,PSB-737
0154,1574,PSB-800
0155,759,PSB-800
0156,1701,PSB-152
0157,1366,PSB-95
0158,1105,PSB-100
0159,2004,PSB-96
0161,2534,PSB-105
0162,5403,PSB-89
0163,1425,PSB-738
0164,1490,PSB-126
0165,546,PSB-104
0166,1148,PSB-131
0171,1067,PSB-129
0174,904,PSB-739
0176,1241,PSB-81
0181,684,PSB-162
0182,4896,PSB-147
0185,2711,PSB-104
0191,381,PSB-123
0192,2667,PSB-100
0195,1467,PSB-139
0201,1278,PSB-796
0202,785,PSB-142
0203,520,PSB-97
0204,1397,PSB-132
0205,2019,PSB-125
0211,815,PSB-97
0212,1096,PSB-743
0213,2,PSB-106
0215,622,PSB-169
0216,836,PSB-152
0217,751,PSB-96
0218,1180,PSB-144
0219,838,PSB-797
0221,849,PSB-131
0224,1,PSB-113
0225,1,PSB-143-01
0226,1,PSB-98
0231,864,PSB-127-02
0233,990,PSB-125
0234,2,PSB-107
0235,1209,PSB-743
0236,1685,PSB-151-01
0237,2152,PSB-124
0238,1048,PSB-116
0239,253,PSB-164
0241,601,PSB-125
0242,1,PSB-144
0244,2,PSB-776
0245,2560,PSB-164
0246,2573,PSB-94
0247,666,PSB-86
0248,1022,PSB-114
0249,2098,PSB-132
0251,1034,PSB-95
0252,1,PSB-161
0254,2,PSB-153
0256,1595,PSB-129
0257,1848,PSB-84
0261,1159,PSB-138
0265,1175,PSB-798
0266,1018,PSB-799
0267,2,PSB-150
0269,2043,PSB-142
0271,781,PSB-81
0275,1056,PSB-133
0277,1,PSB-101
0279,590,PSB-130
0281,593,PSB-739
0285,612,PSB-741
0289,466,PSB-739
0291,595,PSB-159
0292,139,PSB-86
0295,625,PSB-140
0299,772,PSB-127-01
0301,269,PSB-129
0303,158,PSB-93
0305,282,PSB-740
0307,274,PSB-127-02
0308,987,PSB-123
0309,36,PSB-142
0311,1367,PSB-97
0312,919,PSB-158
0313,373,PSB-131
0314,1055,PSB-91
0315,837,PSB-123
0316,801,PSB-82
0317,790,PSB-166
0318,559,PSB-132
0319,639,PSB-134
0321,1113,PSB-105
0325,763,PSB-738
0326,946,PSB-118
0327,686,PSB-129
0328,1982,PSB-92
0329,556,PSB-114
0331,881,PSB-744
0332,613,PSB-99
0333,866,PSB-142
0334,1121,PSB-797
0335,568,PSB-117
0336,636,PSB-163
0337,760,PSB-98
0338,1551,PSB-150
0341,644,PSB-102
0343,273,PSB-125
0351,397,PSB-148
0353,810,PSB-795
0354,749,PSB-104
0355,1001,PSB-164
0356,1623,PSB-799
0357,1762,PSB-157
0358,1763,PSB-165
0359,713,PSB-128
0361,1842,PSB-94
0362,2103,PSB-114
0363,2655,PSB-128
0373,1077,PSB-112
0374,627,PSB-118
0375,1298,PSB-776
0376,1348,PSB-83
0377,811,PSB-138
0378,755,PSB-165
0379,1093,PSB-103
0391,829,PSB-801
0392,1574,PSB-131
0393,1698,PSB-166
0394,579,PSB-795
0395,2026,PSB-81
0396,1231,PSB-127-01
0397,2083,PSB-162
0398,1064,PSB-135
0399,618,PSB-103
0401,141,PSB-134
0402,357,PSB-742
0403,36,PSB-85
0404,475,PSB-104
0405,6,PSB-141
0406,386,PSB-136
0407,558,PSB-143-01
0408,325,PSB-163
0409,631,PSB-164
0411,458,PSB-133
0412,1073,PSB-741
0413,162,PSB-129
0414,128,PSB-124
0415,713,PSB-164
0416,433,PSB-800
0417,406,PSB-114
0418,175,PSB-141
0421,895,PSB-125
0422,800,PSB-108
0423,637,PSB-96
0424,817,PSB-157
0426,483,PSB-147
0427,661,PSB-137
0428,300,PSB-143-02
0429,628,PSB-129
0437,734,PSB-158
0438,805,PSB-125
0439,754,PSB-168
0441,98,PSB-94
0442,382,PSB-96
0443,766,PSB-89
0445,259,PSB-797
0448,828,PSB-739
0449,699,PSB-107
0451,418,PSB-169
0452,153,PSB-125
0453,804,PSB-113
0454,250,PSB-126
0455,975,PSB-86
0456,441,PSB-126
0457,789,PSB-164
0459,621,PSB-132
0461,487,PSB-776
0462,298,PSB-799
0463,599,PSB-112
0464,1102,PSB-152
0465,311,PSB-121
0466,862,PSB-84
0467,1042,PSB-85
0468,446,PSB-125
0469,873,PSB-133
0471,660,PSB-84
0473,1094,PSB-157
0477,874,PSB-121
0478,1211,PSB-88
0479,752,PSB-102
0483,20,PSB-104
0487,253,PSB-91
0488,354,PSB-91
0489,643,PSB-739
0491,647,PSB-797
0497,2146,PSB-160
0499,947,PSB-99
0500,2,PSB-797
0501,991,PSB-743
0502,87,PSB-115
0503,988,PSB-109
0504,1694,PSB-147
0505,395,PSB-108
0506,890,PSB-97
0507,1142,PSB-118
0508,325,PSB-128
0509,733,PSB-144
0511,725,PSB-160
0512,173,PSB-119
0513,1233,PSB-85
0514,1385,PSB-130
0515,895,PSB-742
0516,673,PSB-127-01
0517,761,PSB-99
0518,954,PSB-138
0519,713,PSB-93
0521,1168,PSB-97
0522,750,PSB-88
0523,273,PSB-99
0524,715,PSB-94
0525,1040,PSB-127-01
0526,1139,PSB-127-02
0527,84,PSB-137
0528,765,PSB-739
0529,2157,PSB-151-02
0531,718,PSB-134
0532,635,PSB-744
0541,894,PSB-92
0551,870,PSB-88
0555,835,PSB-126
0557,1508,PSB-156
0558,974,PSB-130
0559,171,PSB-90
0561,215,PSB-158
0562,575,PSB-742
0563,2057,PSB-737
0564,1779,PSB-130
