station_code,raw_capacity,winsorized_capacity,target_record_quota,assigned_records,assigned_districts
PSB-100,1761,1761,14891.077,14906,16
PSB-101,316,326.5,2760.895,2759,5
PSB-102,1156,1156,9775.176,9775,11
PSB-103,579,579,4896.044,4894,6
PSB-104,1822,1822,15406.895,15400,17
PSB-105,1416,1416,11973.745,11978,13
PSB-106,262,326.5,2760.895,2759,6
PSB-107,877,877,7415.942,7412,13
PSB-108,565,565,4777.659,4776,6
PSB-109,1103,1103,9327.006,9326,11
PSB-110,632,632,5344.214,5344,7
PSB-111,596,596,5039.797,5037,7
PSB-112,561,561,4743.835,4743,6
PSB-113,343,343,2900.42,2899,7
PSB-114,854,854,7221.453,7218,11
PSB-115,651,651,5504.878,5504,7
PSB-116,531,531,4490.154,4491,6
PSB-117,1363,1363,11525.575,11524,13
PSB-118,2232,2144,18129.738,18121,21
PSB-119,573,573,4845.308,4843,9
PSB-121,392,392,3314.766,3313,6
PSB-123,1092,1092,9233.99,9229,14
PSB-124,918,918,7762.64,7764,9
PSB-125,1776,1776,15017.917,15020,16
PSB-126,1636,1636,13834.072,13827,16
PSB-127-01,1211,1211,10240.258,10235,14
PSB-127-02,2204,2144,18129.738,18131,18
PSB-128,1713,1713,14485.187,14478,17
PSB-129,2052,2052,17351.783,17344,18
PSB-130,1409,1409,11914.553,11919,13
PSB-131,1912,1912,16167.938,16166,17
PSB-132,2018,2018,17064.278,17077,18
PSB-133,913,913,7720.359,7726,9
PSB-134,1544,1544,13056.117,13056,14
PSB-135,1245,1245,10527.763,10530,12
PSB-136,1808,1808,15288.51,15285,16
PSB-137,1008,1008,8523.683,8520,10
PSB-138,1050,1050,8878.836,8874,10
PSB-139,385,385,3255.573,3254,6
PSB-140,1106,1106,9352.374,9350,11
PSB-141,318,326.5,2760.895,2759,5
PSB-142,1967,1967,16633.02,16625,22
PSB-143-01,523,523,4422.506,4420,8
PSB-143-02,769,769,6502.691,6502,8
PSB-144,1115,1115,9428.478,9423,13
PSB-146,659,659,5572.527,5576,7
PSB-147,2723,2144,18129.738,18137,18
PSB-148,2140,2140,18095.914,18118,19
PSB-150,455,455,3847.496,3845,7
PSB-151-01,1308,1308,11060.493,11055,15
PSB-151-02,932,932,7881.024,7881,9
PSB-152,1348,1348,11398.735,11393,17
PSB-153,623,623,5268.109,5265,9
PSB-154,216,326.5,2760.895,2759,5
PSB-155,373,373,3154.101,3152,5
PSB-156,428,428,3619.183,3622,5
PSB-157,584,584,4938.324,4935,7
PSB-158,717,717,6062.977,6060,12
PSB-159,1066,1066,9014.133,9009,11
PSB-160,913,913,7720.359,7725,9
PSB-161,85,326.5,2760.895,2759,6
PSB-162,837,837,7077.701,7074,10
PSB-163,1305,1305,11035.125,11029,13
PSB-164,1508,1508,12751.7,12747,14
PSB-165,1394,1394,11787.712,11791,13
PSB-166,555,555,4693.099,4693,6
PSB-167,219,326.5,2760.895,2759,5
PSB-168,1161,1161,9817.456,9819,11
PSB-169,580,580,4904.5,4903,6
PSB-737,2053,2053,17360.239,17352,18
PSB-738,2806,2144,18129.738,18152,19
PSB-739,2148,2144,18129.738,18152,18
PSB-740,1264,1264,10688.428,10699,12
PSB-741,1264,1264,10688.428,10699,12
PSB-742,1202,1202,10164.153,10160,12
PSB-743,2376,2144,18129.738,18148,18
PSB-744,2222,2144,18129.738,18129,19
PSB-776,272,326.5,2760.895,2759,6
PSB-79,560,560,4735.379,4733,6
PSB-795,1579,1579,13352.078,13345,16
PSB-796,205,326.5,2760.895,2759,4
PSB-797,615,615,5200.461,5197,9
PSB-798,2082,2082,17605.464,17597,21
PSB-799,504,504,4261.841,4259,7
PSB-80,284,326.5,2760.895,2761,4
PSB-800,1168,1168,9876.648,9873,11
PSB-801,2235,2144,18129.738,18152,19
PSB-81,775,775,6553.427,6558,8
PSB-82,307,326.5,2760.895,2761,4
PSB-83,335,335,2832.772,2831,5
PSB-84,634,634,5361.126,5361,7
PSB-85,1218,1218,10299.45,10294,14
PSB-86,1416,1416,11973.745,11972,13
PSB-87,674,674,5699.367,5701,7
PSB-88,1150,1150,9724.44,9730,11
PSB-89,2453,2144,18129.738,18121,22
PSB-90,261,326.5,2760.895,2759,4
PSB-91,2023,2023,17106.558,17116,18
PSB-92,685,685,5792.384,5794,7
PSB-93,1906,1906,16117.202,16123,17
PSB-94,1511,1511,12777.068,12783,14
PSB-95,1942,1942,16421.619,16417,17
PSB-96,2239,2144,18129.738,18131,20
PSB-97,2819,2144,18129.738,18129,19
PSB-98,522,522,4414.05,4411,7
PSB-99,749,749,6333.57,6334,8
